Match,TeamInnings,Name,Runs,Balls,Fours,Sixes,Strike_Rate,pos,Out_or_Notout,MatchId
Ireland Vs Sri Lanka,Ireland,Lorcan Tucker ,10,11,1,0,90.90,3,out,1841
Ireland Vs Sri Lanka,Ireland,Harry Tector ,45,42,2,1,107.14,4,out,1841
Ireland Vs Sri Lanka,Ireland,Curtis Campher ,2,4,0,0,50.00,5,out,1841
Ireland Vs Sri Lanka,Ireland,George Dockrell ,14,16,0,0,87.50,6,out,1841
Ireland Vs Sri Lanka,Ireland,Gareth Delany ,9,6,1,0,150.00,7,out,1841
Ireland Vs Sri Lanka,Ireland,Mark Adair ,0,1,0,0,0.00,8,out,1841
Ireland Vs Sri Lanka,Ireland,Simi Singh ,7,8,1,0,87.50,9,not out ,1841
Ireland Vs Sri Lanka,Ireland,Barry McCarthy ,2,2,0,0,100.00,10,not out ,1841
Ireland Vs Sri Lanka,Sri Lanka,Kusal Mendis ,68,43,5,3,158.13,1,not out ,1841
Ireland Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva ,31,25,2,1,124.00,2,out,1841
Ireland Vs Sri Lanka,Sri Lanka,Charith Asalanka ,31,22,2,0,140.90,3,not out ,1841
Pakistan Vs India,Pakistan,Mohammad Rizwan ,4,12,1,0,33.33,1,out,1842
Pakistan Vs India,Pakistan,Babar Azam ,0,1,0,0,0.00,2,out,1842
Pakistan Vs India,Pakistan,Shan Masood ,52,42,5,0,123.80,3,not out ,1842
Pakistan Vs India,Pakistan,Iftikhar Ahmed ,51,34,2,4,150.00,4,out,1842
Pakistan Vs India,Pakistan,Shadab Khan ,5,6,1,0,83.33,5,out,1842
Pakistan Vs India,Pakistan,Haider Ali ,2,4,0,0,50.00,6,out,1842
Pakistan Vs India,Pakistan,Mohammad Nawaz ,9,6,2,0,150.00,7,out,1842
Pakistan Vs India,Pakistan,Asif Ali ,2,3,0,0,66.66,8,out,1842
Pakistan Vs India,Pakistan,Shaheen Shah Afridi ,16,8,1,1,200.00,9,out,1842
Pakistan Vs India,Pakistan,Haris Rauf ,6,4,0,1,150.00,10,not out ,1842
Pakistan Vs India,India,KL Rahul ,4,8,0,0,50.00,1,out,1842
Pakistan Vs India,India,Rohit Sharma ,4,7,0,0,57.14,2,out,1842
Pakistan Vs India,India,Virat Kohli ,82,53,6,4,154.71,3,not out ,1842
Pakistan Vs India,India,Suryakumar Yadav ,15,10,2,0,150.00,4,out,1842
Pakistan Vs India,India,Axar Patel ,2,3,0,0,66.66,5,out,1842
Pakistan Vs India,India,Hardik Pandya ,40,37,1,2,108.10,6,out,1842
Pakistan Vs India,India,Dinesh Karthik ,1,2,0,0,50.00,7,out,1842
Pakistan Vs India,India,Ravichandran Ashwin ,1,1,0,0,100.00,8,not out ,1842
Bangladesh Vs Netherlands,Bangladesh,Najmul Hossain Shanto ,25,20,4,0,125.00,1,out,1843
Bangladesh Vs Netherlands,Bangladesh,Soumya Sarkar ,14,14,2,0,100.00,2,out,1843
Bangladesh Vs Netherlands,Bangladesh,Litton Das ,9,11,0,0,81.81,3,out,1843
